SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PTS_L1,PTS_L3,PTS_L5,MIN_L3,FGA_L3,HOME,REST_DAYS,PTS_next_game
22023,1627759,22300542,2024-01-13,BOS vs. HOU,W,28,11,15,0.733,4,6,0.667,6,10,0.6,1,5,6,2,2,2,3,5,32,19,1,2023-24,16.0,22.333333333333332,26.0,30.666666666666668,16.333333333333332,1,-365.0,10.0
22024,1627759,22400562,2025-01-15,BOS @ TOR,L,33,4,16,0.25,1,1,1.0,1,2,0.5,2,5,7,4,1,0,2,3,10,-23,1,2024-25,32.0,19.333333333333332,25.4,28.333333333333332,14.333333333333334,0,368.0,21.0
22023,1627759,22300571,2024-01-17,BOS vs. SAS,W,31,8,16,0.5,3,6,0.5,2,2,1.0,1,6,7,5,1,1,3,2,21,12,1,2023-24,10.0,19.333333333333332,21.8,33.333333333333336,15.0,1,-364.0,20.0
22024,1627759,22400577,2025-01-17,BOS vs. ORL,W,33,5,12,0.417,1,2,0.5,9,9,1.0,1,5,6,6,3,0,3,3,20,22,1,2024-25,21.0,21.0,17.8,30.666666666666668,15.666666666666666,1,366.0,24.0
22024,1627759,22400587,2025-01-18,BOS vs. ATL,L,43,9,27,0.333,2,9,0.222,4,5,0.8,6,5,11,8,2,0,4,2,24,-9,1,2024-25,20.0,17.0,19.8,32.333333333333336,14.666666666666666,1,1.0,16.0
22022,1627759,22200679,2023-01-19,BOS vs. GSW,W,41,6,18,0.333,1,4,0.25,3,6,0.5,1,8,9,3,1,0,2,5,16,-6,1,2022-23,24.0,21.666666666666668,21.4,35.666666666666664,18.333333333333332,1,-730.0,13.0
22023,1627759,22300586,2024-01-19,BOS vs. DEN,L,36,6,19,0.316,1,9,0.111,0,2,0.0,0,2,2,1,2,0,0,3,13,-2,1,2023-24,16.0,20.0,18.2,39.0,19.0,1,365.0,17.0
22024,1627759,22400604,2025-01-20,BOS @ GSW,W,29,8,14,0.571,1,3,0.333,0,0,0.0,1,3,4,2,0,0,2,2,17,27,1,2024-25,13.0,17.666666666666668,18.8,40.0,21.333333333333332,0,367.0,27.0
22022,1627759,22200692,2023-01-21,BOS @ TOR,W,42,10,23,0.435,4,8,0.5,3,3,1.0,2,6,8,6,3,0,5,0,27,-4,1,2022-23,17.0,15.333333333333334,18.0,35.333333333333336,17.0,0,-730.0,13.0
22023,1627759,22300603,2024-01-21,BOS @ HOU,W,31,6,14,0.429,1,3,0.333,0,2,0.0,0,11,11,10,3,0,3,0,13,4,1,2023-24,27.0,19.0,19.4,35.666666666666664,18.666666666666668,0,365.0,34.0
22023,1627759,22300611,2024-01-22,BOS @ DAL,W,37,13,22,0.591,2,7,0.286,6,9,0.667,1,2,3,4,0,2,0,5,34,-6,1,2023-24,13.0,19.0,17.2,34.0,17.0,0,1.0,25.0
22024,1627759,22400620,2025-01-22,BOS @ LAC,W,39,8,15,0.533,2,2,1.0,7,9,0.778,0,2,2,6,3,1,5,4,25,1,1,2024-25,34.0,24.666666666666668,20.8,36.666666666666664,19.666666666666668,0,366.0,26.0
22022,1627759,22200707,2023-01-23,BOS @ ORL,L,37,10,22,0.455,5,11,0.455,1,2,0.5,2,3,5,3,1,0,5,1,26,-20,1,2022-23,25.0,24.0,23.2,35.666666666666664,17.0,0,-730.0,17.0
22024,1627759,22400629,2025-01-23,BOS @ LAL,L,33,7,19,0.368,3,9,0.333,0,3,0.0,2,6,8,3,1,0,0,2,17,-18,1,2024-25,26.0,28.333333333333332,25.0,37.666666666666664,19.666666666666668,0,731.0,18.0
22023,1627759,22300630,2024-01-25,BOS @ MIA,W,27,7,11,0.636,4,8,0.5,0,0,0.0,1,3,4,5,3,0,3,1,18,22,1,2023-24,17.0,22.666666666666668,23.0,36.333333333333336,18.666666666666668,0,-364.0,22.0
22024,1627759,22400635,2025-01-25,BOS @ DAL,W,31,10,21,0.476,0,5,0.0,2,6,0.333,1,7,8,6,0,0,0,4,22,10,1,2024-25,18.0,20.333333333333332,24.0,32.333333333333336,17.333333333333332,0,366.0,22.0
22022,1627759,22200730,2023-01-26,BOS vs. NYK,L,42,8,22,0.364,1,8,0.125,5,7,0.714,2,7,9,2,1,0,3,2,22,3,1,2022-23,22.0,19.0,21.6,30.333333333333332,17.0,1,-730.0,8.0
22023,1627759,22300646,2024-01-27,BOS vs. LAC,L,24,3,13,0.231,0,2,0.0,2,2,1.0,5,1,6,2,0,1,1,3,8,-18,1,2023-24,22.0,20.666666666666668,21.0,33.333333333333336,18.0,1,366.0,28.0
22024,1627759,22400650,2025-01-27,BOS vs. HOU,L,38,10,23,0.435,3,9,0.333,5,6,0.833,0,4,4,4,0,1,2,4,28,-12,1,2024-25,8.0,17.333333333333332,17.4,32.333333333333336,18.666666666666668,1,366.0,37.0
22022,1627759,22200749,2023-01-28,BOS vs. LAL,W,39,13,23,0.565,2,9,0.222,9,11,0.818,1,8,9,3,1,1,3,5,37,1,1,2022-23,28.0,19.333333333333332,19.6,34.666666666666664,19.333333333333332,1,-730.0,22.0
22023,1627759,22300659,2024-01-29,BOS vs. NOP,W,37,8,15,0.533,1,5,0.2,5,7,0.714,2,9,11,7,0,1,0,3,22,6,1,2023-24,37.0,24.333333333333332,23.4,33.666666666666664,19.666666666666668,1,366.0,28.0
22024,1627759,22400666,2025-01-29,BOS vs. CHI,W,36,10,18,0.556,1,5,0.2,7,11,0.636,0,6,6,6,1,0,0,3,28,23,1,2024-25,22.0,29.0,23.4,38.0,20.333333333333332,1,366.0,25.0
22023,1627759,22300670,2024-01-30,BOS vs. IND,W,36,9,15,0.6,0,3,0.0,7,8,0.875,2,4,6,2,2,0,0,0,25,-6,1,2023-24,28.0,29.0,24.6,37.333333333333336,18.666666666666668,1,-365.0,28.0
22024,1627759,22400683,2025-01-31,BOS @ NOP,W,35,11,18,0.611,3,6,0.5,3,4,0.75,1,5,6,4,0,0,1,4,28,2,1,2024-25,25.0,25.0,28.0,36.333333333333336,16.0,0,367.0,16.0
22022,1627759,22200935,2023-03-01,BOS vs. CLE,W,37,6,15,0.4,2,5,0.4,2,2,1.0,0,3,3,4,0,0,2,3,16,2,1,2022-23,28.0,27.0,28.0,35.666666666666664,17.0,1,-702.0,25.0
22023,1627759,22300859,2024-03-01,BOS vs. DAL,W,31,11,20,0.55,2,5,0.4,1,1,1.0,1,6,7,5,1,0,0,3,25,16,1,2023-24,16.0,23.0,23.8,36.0,16.0,1,366.0,22.0
22024,1627759,22400866,2025-03-02,BOS vs. DEN,W,37,6,15,0.4,2,4,0.5,8,9,0.889,0,5,5,8,2,2,5,2,22,10,1,2024-25,25.0,23.0,24.4,34.333333333333336,17.666666666666668,1,366.0,35.0
